iter	Passed	Remaining
582	4473	72265
583	4481	72252
584	4488	72237
585	4494	72211
586	4501	72181
587	4505	72121
588	4514	72138
589	4524	72161
590	4533	72178
591	4538	72121
592	4539	72007
593	4542	71937
594	4549	71913
595	4557	71906
596	4566	71923
597	4574	71926
598	4575	71814
599	4582	71791
600	4587	71737
601	4593	71713
602	4604	71749
603	4613	71764
604	4617	71698
605	4624	71688
606	4631	71662
607	4638	71645
608	4647	71659
609	4650	71594
610	4658	71577
611	4664	71555
612	4674	71581
613	4680	71555
614	4688	71543
615	4692	71480
616	4696	71416
617	4703	71405
618	4710	71382
619	4717	71364
620	4723	71341
621	4729	71314
622	4734	71261
623	4741	71236
624	4750	71262
625	4754	71197
626	4758	71134
627	4768	71159
628	4774	71138
629	4778	71074
630	4786	71070
631	4793	71057
632	4803	71087
633	4810	71067
634	4820	71099
635	4827	71078
636	4831	71018
637	4841	71036
638	4847	71016
639	4854	70998
640	4863	71009
641	4873	71030
642	4879	71007
643	4884	70961
644	4893	70980
645	4898	70930
646	4905	70911
647	4909	70848
648	4916	70836
649	4925	70852
650	4935	70878
651	4939	70815
652	4940	70712
653	4947	70699
654	4951	70638
655	4960	70656
656	4967	70644
657	4976	70655
658	4983	70642
659	4990	70618
660	4997	70601
661	5006	70622
662	5013	70609
663	5017	70549
664	5021	70488
665	5028	70476
666	5037	70491
667	5044	70473
668	5046	70380
669	5055	70396
670	5058	70335
671	5068	70357
672	5074	70333
673	5084	70358
674	5091	70335
675	5098	70323
676	5102	70267
677	5108	70243
678	5118	70269
679	5125	70248
680	5132	70238
681	5136	70177
682	5146	70203
683	5150	70145
684	5156	70122
685	5166	70144
686	5175	70156
687	5182	70143
688	5191	70157
689	5193	70070
690	5197	70016
691	5198	69920
692	5204	69900
693	5212	69893
694	5221	69911
695	5229	69905
696	5235	69882
697	5242	69870
698	5249	69850
699	5253	69791
700	5257	69738
701	5264	69727
702	5270	69707
703	5280	69729
704	5284	69672
705	5291	69661
706	5300	69673
707	5311	69704
708	5320	69722
709	5330	69750
710	5337	69730
711	5342	69687
712	5351	69704
713	5361	69727
714	5367	69706
715	5374	69693
716	5381	69671
717	5391	69693
718	5400	69706
719	5407	69695
720	5413	69674
721	5420	69658
722	5429	69661
723	5439	69686
724	5445	69664
725	5455	69683
726	5461	69662
727	5471	69688
728	5478	69667
729	5487	69688
730	5497	69702
731	5500	69648
732	5508	69637
733	5514	69614
734	5518	69560
735	5526	69561
736	5530	69507
737	5537	69494
738	5543	69474
739	5550	69452
740	5557	69440
741	5558	69353
742	5567	69366
743	5577	69383
744	5588	69423
745	5595	69408
746	5602	69400
747	5613	69432
748	5625	69481
749	5636	69522
750	5646	69542
751	5656	69566
752	5663	69546
753	5670	69536
754	5674	69482
755	5675	69393
756	5681	69373
757	5688	69362
758	5698	69374
759	5707	69392
760	5717	69412
761	5718	69329
762	5725	69314
763	5735	69338
764	5739	69285
765	5743	69232
766	5753	69254
767	5756	69201
768	5766	69222
769	5773	69203
770	5779	69182
771	5789	69204
772	5796	69186
773	5806	69209
774	5816	69229
775	5820	69180
776	5829	69192
777	5840	69228
778	5847	69216
779	5852	69179
780	5859	69161
781	5866	69153
782	5874	69145
783	5885	69182
784	5895	69205
785	5904	69221
786	5911	69205
787	5922	69231
788	5929	69226
789	5939	69245
790	5948	69257
791	5957	69263
792	5962	69228
793	5972	69247
794	5981	69255
795	5991	69273
796	6001	69297
797	6013	69341
798	6025	69390
799	6039	69456
800	6044	69415
801	6054	69439
802	6064	69453
803	6076	69499
804	6089	69554
805	6103	69618
806	6107	69578
807	6122	69651
808	6136	69714
809	6144	69717
810	6146	69642
811	6156	69656
812	6170	69722
813	6174	69678
814	6183	69687
815	6187	69639
816	6191	69592
817	6197	69563
818	6203	69546
819	6211	69539
820	6218	69521
821	6222	69475
822	6230	69473
823	6240	69489
824	6248	69495
825	6254	69465
826	6262	69460
827	6265	69410
828	6278	69461
829	6286	69449
830	6296	69476
831	6306	69489
832	6315	69498
833	6321	69479
834	6330	69478
835	6337	69465
836	6348	69497
837	6354	69477
838	6365	69500
839	6368	69451
840	6376	69445
841	6383	69427
842	6387	69378
843	6394	69369
844	6401	69350
845	6402	69272
846	6412	69298
847	6422	69310
848	6433	69341
849	6444	69369
850	6453	69383
851	6464	69410
852	6468	69361
853	6478	69385
854	6488	69400
855	6498	69419
856	6505	69405
857	6513	69397
858	6521	69395
859	6533	69439
860	6546	69487
861	6551	69447
862	6562	69476
863	6573	69504
864	6580	69493
865	6586	69474
866	6591	69435
867	6598	69419
868	6606	69413
869	6615	69425
870	6623	69424
871	6634	69444
872	6642	69447
873	6652	69463
874	6657	69428
875	6658	69354
876	6668	69368
877	6673	69336
878	6680	69320
879	6688	69314
880	6695	69298
881	6705	69323
882	6710	69285
883	6734	69448
884	6745	69479
885	6757	69515
886	6768	69537
887	6779	69561
888	6787	69560
889	6794	69552
890	6805	69572
891	6815	69595
892	6828	69635
893	6832	69589
894	6845	69640
895	6856	69668
896	6872	69748
897	6884	69782
898	6894	69798
899	6909	69857
900	6913	69817
901	6923	69838
902	6935	69873
903	6942	69857
904	6954	69887
905	6964	69903
906	6972	69900
907	6978	69880
908	6984	69852
909	6992	69844
910	6993	69769
911	7000	69760
912	7004	69715
913	7014	69727
914	7018	69691
915	7028	69698
916	7036	69693
917	7045	69704
918	7050	69666
919	7056	69645
920	7067	69667
921	7074	69653
922	7082	69649
923	7088	69631
924	7107	69733
925	7118	69752
926	7124	69735
927	7129	69695
928	7136	69679
929	7139	69633
930	7147	69620
931	7153	69603
932	7157	69557
933	7167	69573
934	7173	69552
935	7181	69547
936	7191	69562
937	7199	69556
938	7208	69562
939	7219	69583
940	7223	69539
941	7227	69494
942	7237	69512
943	7241	69467
944	7251	69487
945	7258	69468
946	7263	69433
947	7267	69389
948	7270	69345
949	7274	69302
950	7283	69301
951	7289	69284
952	7297	69281
953	7301	69237
954	7305	69191
955	7309	69152
956	7317	69141
957	7323	69122
958	7331	69114
959	7335	69074
960	7345	69089
961	7349	69047
962	7355	69029
963	7363	69024
964	7370	69004
965	7377	68997
966	7382	68958
967	7383	68889
968	7389	68872
969	7394	68839
970	7401	68822
971	7405	68779
972	7413	68775
973	7420	68762
974	7430	68784
975	7434	68741
976	7438	68700
977	7448	68715
978	7455	68697
979	7463	68693
980	7469	68675
981	7481	68702
982	7491	68719
983	7495	68681
984	7503	68676
985	7515	68710
986	7528	68747
987	7536	68743
988	7551	68805
989	7562	68824
990	7574	68860
991	7587	68901
992	7600	68943
993	7611	68962
994	7612	68895
995	7624	68928
996	7633	68931
997	7638	68902
998	7648	68914
999	7662	68964
1000	7667	68930
1001	7678	68953
1002	7686	68951
1003	7693	68938
